,0
0,Louisiana
1,Maine
2,Maryland
3,Massachusetts
4,Michigan
5,Minnesota
6,Mississippi
7,Missouri
8,Montana
9,Nebraska
10,Nevada
11,New Hampshire
12,New Jersey
13,New Mexico
14,New York
15,North Carolina
16,North Dakota
17,Ohio
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,South Dakota
24,Tennessee
25,Texas
26,Utah
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
32,Wyoming
